participant_id,trial_number,span_length,span_attempt,digit_sequence,user_sequence,is_correct,response_time,timestamp
71705072,1,2,1,4 1,1 4,True,4.711206674575806,2026-02-23T12:25:13.277615
71705072,2,2,2,6 5,5 6,True,3.8899319171905518,2026-02-23T12:25:24.075282
71705072,3,2,1,9 5,5 9,True,3.810296058654785,2026-02-23T12:25:37.309248
71705072,4,2,2,6 2,2 6,True,3.5228617191314697,2026-02-23T12:25:47.743251
71705072,5,3,1,4 8 9,9 8 4,True,6.809769868850708,2026-02-23T12:26:04.768706
71705072,6,3,2,9 8 7,7 8 9,True,5.539473056793213,2026-02-23T12:26:18.026476
71705072,7,4,1,8 6 1 3,3 1 6 8,True,7.681622266769409,2026-02-23T12:26:36.722307
71705072,8,4,2,8 5 2 4,4 2 5 8,True,5.9906158447265625,2026-02-23T12:26:51.225354
71705072,9,5,1,5 1 9 3 4,4 3 9 1 5,True,12.05188274383545,2026-02-23T12:27:15.094993
71705072,10,5,2,1 7 9 4 3,3 4 9 7 1,True,7.145642280578613,2026-02-23T12:27:31.559956
71705072,11,6,1,2 7 6 8 4 5,5 4 8 6 7 2,True,9.596896171569824,2026-02-23T12:27:53.786196
71705072,12,6,2,2 8 9 1 5 3,3 5 1 9 8 2,True,11.49040961265564,2026-02-23T12:28:15.397217
71705072,13,7,1,1 2 6 5 3 4 8,8 4 5 1 6 2 9,False,29.38140320777893,2026-02-23T12:28:58.196695
71705072,14,7,2,1 2 6 4 3 8 5,8 3 5 4 7 2 1,False,46.015366315841675,2026-02-23T12:29:55.126523
