participant_id,trial_number,span_length,span_attempt,digit_sequence,user_sequence,is_correct,response_time,timestamp
70729643,1,2,1,6 7,7 6,True,4.468807697296143,2026-01-19T13:49:39.521519
70729643,2,2,2,7 5,5 7,True,3.8534605503082275,2026-01-19T13:49:50.281767
70729643,3,2,1,3 2,2 3,True,5.1594696044921875,2026-01-19T13:50:04.844524
70729643,4,2,2,6 8,8 6,True,3.786756992340088,2026-01-19T13:50:15.548823
70729643,5,3,1,1 5 7,7 5 1,True,4.11189079284668,2026-01-19T13:50:29.889224
70729643,6,3,2,6 9 5,5 9 6,True,6.130815505981445,2026-01-19T13:50:43.752443
70729643,7,4,1,2 6 8 5,5 8 6 2,True,9.603755235671997,2026-01-19T13:51:04.372414
70729643,8,4,2,6 3 2 7,7 2 3 6,True,9.292196989059448,2026-01-19T13:51:22.184189
70729643,9,5,1,1 2 4 5 7,7 5 4 2 1,True,51.37603759765625,2026-01-19T13:52:25.372315
70729643,10,5,2,9 4 3 5 2,2 5 3 4 9,True,18.75363850593567,2026-01-19T13:52:53.436509
70729643,11,6,1,3 2 4 9 5 7,7 5 9 4 3 2,False,38.54091191291809,2026-01-19T13:53:44.608497
70729643,12,6,2,4 9 1 8 3 2,2 3 8 1 9 4,True,23.009400129318237,2026-01-19T13:54:17.725967
70729643,13,7,1,7 6 2 1 3 8 4,4 8 3 1 2 6 7,True,37.06969118118286,2026-01-19T13:55:08.211900
70729643,14,7,2,3 7 5 9 1 6 8,8 3 6 1 5 7 9,False,58.23027777671814,2026-01-19T13:56:17.356724
70729643,15,8,1,9 4 2 3 8 5 1 6,6 1 5 8 3 2 4 9,True,28.29147982597351,2026-01-19T13:56:59.888680
70729643,16,8,2,1 7 9 5 6 4 8 3,3 8 4 5 6 9 7 1,False,41.28346824645996,2026-01-19T13:57:52.902098
