participant_id,trial_number,span_length,span_attempt,digit_sequence,user_sequence,is_correct,response_time,timestamp
123,1,2,1,7 9,9 7,True,3.3705263137817383,2026-01-21T13:35:39.117303
123,2,2,2,9 4,4 9,True,3.2363898754119873,2026-01-21T13:35:49.266722
123,3,2,1,6 5,5 6,True,3.1599044799804688,2026-01-21T13:36:01.843315
123,4,2,2,7 5,2 5,False,2.6609060764312744,2026-01-21T13:36:11.418691
123,5,3,1,1 6 3,3 6 1,True,3.7623629570007324,2026-01-21T13:36:25.417280
123,6,3,2,5 8 6,6 8 5,True,3.4358835220336914,2026-01-21T13:36:36.564891
123,7,4,1,4 1 5 6,1 2 3 4,False,3.3294410705566406,2026-01-21T13:36:50.912882
123,8,4,2,4 8 2 7,2 3 4,False,3.5521771907806396,2026-01-21T13:37:02.974118
