participant_id,trial_number,span_length,span_attempt,digit_sequence,user_sequence,is_correct,response_time,timestamp
70959449,1,2,1,3 9,9 3,True,4.376791954040527,2026-02-02T10:46:05.589838
70959449,2,2,2,1 7,7 1,True,4.561643600463867,2026-02-02T10:46:17.052961
70959449,3,2,1,9 5,5 9,True,4.318674325942993,2026-02-02T10:46:30.771270
70959449,4,2,2,8 9,9 8,True,4.509531736373901,2026-02-02T10:46:42.190078
70959449,5,3,1,3 6 1,1 6 3,True,6.009624481201172,2026-02-02T10:46:58.443666
70959449,6,3,2,6 9 3,3 9 6,True,6.775111198425293,2026-02-02T10:47:12.930117
70959449,7,4,1,5 1 8 4,4 8 1 5,True,13.941149473190308,2026-02-02T10:47:37.876030
70959449,8,4,2,3 7 8 4,4 8 7 3,True,7.083353519439697,2026-02-02T10:47:53.482961
70959449,9,5,1,9 8 5 2 1,1 2 5 8 9,True,14.236008644104004,2026-02-02T10:48:19.531278
70959449,10,5,2,3 4 7 8 6,6 8 7 4 3,True,9.19347357749939,2026-02-02T10:48:38.038223
70959449,11,6,1,7 1 3 9 2 4,4 2 9 3 1 7,True,13.467618942260742,2026-02-02T10:49:04.134245
70959449,12,6,2,5 2 8 1 3 4,4 3 1 8 2 5,True,26.208476543426514,2026-02-02T10:49:40.470859
70959449,13,7,1,9 7 4 1 2 6 8,8 6 2 1 4 5 9,False,15.77774977684021,2026-02-02T10:50:09.676791
70959449,14,7,2,9 3 8 4 5 7 1,1 7 5 4 8 3 9,True,13.696869134902954,2026-02-02T10:50:34.294938
70959449,15,8,1,4 5 6 3 8 2 1 7,7 1 8 2 3 6 5 4,False,26.729055166244507,2026-02-02T10:51:15.239637
70959449,16,8,2,4 8 2 9 6 1 7 5,5 3 7 6 9 2 8 4,False,49.384419441223145,2026-02-02T10:52:16.339464
