participant_id,trial_number,span_length,span_attempt,digit_sequence,user_sequence,is_correct,response_time,timestamp
70469990,1,2,1,1 6,6 1,True,6.822449684143066,2026-01-22T10:26:24.599088
70469990,2,2,2,1 5,5 1,True,3.6128668785095215,2026-01-22T10:26:35.117941
70469990,3,2,1,8 5,5 8,True,4.215411901473999,2026-01-22T10:26:48.758345
70469990,4,2,2,8 7,7 8,True,3.793771266937256,2026-01-22T10:26:59.465375
70469990,5,3,1,8 2 6,6 2 8,True,6.757829189300537,2026-01-22T10:27:16.433452
70469990,6,3,2,4 9 1,1 9 4,True,7.1301233768463135,2026-01-22T10:27:31.276364
70469990,7,4,1,8 1 5 3,3 5 1 8,True,9.675220966339111,2026-01-22T10:27:51.984335
70469990,8,4,2,2 7 1 3,3 1 7 2,True,9.67301607131958,2026-01-22T10:28:10.171605
70469990,9,5,1,1 5 4 3 6,6 3 4 5 1,True,10.952937126159668,2026-01-22T10:28:32.941516
70469990,10,5,2,2 8 5 7 4,4 7 5 8 2,True,15.556742668151855,2026-01-22T10:28:57.807548
70469990,11,6,1,2 4 1 7 6 9,9 6 7 1 4 2,True,25.35576343536377,2026-01-22T10:29:35.786568
70469990,12,6,2,6 4 3 9 5 2,2 6 4 1 7,False,31.78557300567627,2026-01-22T10:30:17.689661
70469990,13,7,1,2 8 9 5 1 7 3,3 7 6 8 2,False,36.45811319351196,2026-01-22T10:31:07.567580
70469990,14,7,2,2 8 4 5 9 7 1,1 7 5 6 4 8 2,False,54.062734842300415,2026-01-22T10:32:12.544783
