participant_id,trial_number,span_length,span_attempt,digit_sequence,user_sequence,is_correct,response_time,timestamp
70703772,1,2,1,8 6,6 8,True,4.400755882263184,2026-02-02T12:43:58.613414
70703772,2,2,2,2 8,8 2,True,4.407240629196167,2026-02-02T12:44:09.951933
70703772,3,2,1,7 6,6 7,True,4.133922576904297,2026-02-02T12:44:23.478996
70703772,4,2,2,9 7,7 9,True,3.9909512996673584,2026-02-02T12:44:34.370346
70703772,5,3,1,2 9 4,4 9 2,True,4.677655935287476,2026-02-02T12:44:49.253228
70703772,6,3,2,1 5 4,4 5 1,True,4.407398700714111,2026-02-02T12:45:01.373680
70703772,7,4,1,6 7 9 2,2 9 7 6,True,13.913711071014404,2026-02-02T12:45:26.309644
70703772,8,4,2,9 8 7 1,1 7 8 9,True,8.089205265045166,2026-02-02T12:45:42.893241
70703772,9,5,1,4 6 1 5 8,8 5 1 6 4,True,11.759599924087524,2026-02-02T12:46:06.480366
70703772,10,5,2,1 6 8 7 5,5 7 8 6 1,True,16.279946327209473,2026-02-02T12:46:32.076998
70703772,11,6,1,9 7 6 4 5 1,4 6 9 3 1,False,24.043715715408325,2026-02-02T12:47:08.754016
70703772,12,6,2,9 5 3 2 8 4,4 8 2 3 5 9,True,10.715226650238037,2026-02-02T12:47:29.581072
70703772,13,7,1,4 9 5 7 1 3 2,2 1 3 5 9 4 7,False,24.04949116706848,2026-02-02T12:48:07.070278
70703772,14,7,2,3 7 6 2 4 1 5,5 1 2 4 7 6 3,False,16.7802894115448,2026-02-02T12:48:34.776386
